Item ID,Item Type,Home Location,Current Location,Name,Categories,Min Frequency,Replacement Cost
ETL1274,Scrapers,Leith,Leith,Tile adhesive comb,"General DIY, Painting and Decorating",,3
ETL1275,Buckets,Leith,Leith,Small Bucket,"General DIY, Painting and Decorating, Plumbing",,
ETL1276,Spade Shovel,,,Garden spade,"Garden, General DIY, Miscellaneous",,5
ETL1277,Electric Chippers,Leith,Portobello,Garden shredder,"Garden, General DIY",,
ETL1278,Spade Shovel,Leith,Leith,Garden spade,"Garden, General DIY, Miscellaneous",,5
ETL1279,Drill Bits,Portobello,Portobello,75 Piece Drill Bit Set,General DIY,,25
ETL1280,String Trimmer,Portobello,Portobello,Cordless strimmer,"Garden, General DIY",,40
ETL1281,Digging Fork,Leith,Leith,Garden Fork,"Garden, Miscellaneous",,5
ETL1282,Loppers,Leith,Leith,Extendable Branch Loppers,Garden,,
ETL1283,Utility Wagon,Leith,Leith,Plastic Dolly / Trolley,General DIY,,30
ETL1284,Basin Wrench,Leith,Leith,Basin Wrench / Spanner,Plumbing,,
ETL1285,Crescent Wrench,Leith,Leith,Adjustable spanner,"Automotive, Bike, Carpentry and Woodworking, General DIY",,
ETL1286,Electric Hedge Trimmer,Portobello,Portobello,Corded Hedge Trimmer,Garden,,30
ETL1287,Garden Tools,Portobello,Portobello,Cordless Hedge Trimmer,General DIY,,30
ETL1288,Tuck Point Trowel,Leith,Leith,Finger Pointing Trowel,"General DIY, Painting and Decorating",,
ETL1289,Tuck Point Trowel,Leith,Leith,Finger pointing trowel,"General DIY, Miscellaneous, Painting and Decorating",,
ETL1290,Pipe Cutters,Leith,Leith,Bottle cutter,General DIY,,20
ETL1291,Activities,Leith,Leith,Bubble Machine,Miscellaneous,,
ETL1292,Files,Leith,Leith,Half Round Hand File,"Automotive, Bike, Carpentry and Woodworking, Electrical and Soldering, Garden, General DIY, Metalworking, Miscellaneous, Painting and Decorating, Plumbing",,
ETL1293,Drill Bits,Leith,Leith,Heavy Duty SDS+ drill bit set,"General DIY, Plumbing, Painting and Decorating",,
ETL1294,Crescent Wrench,Leith,Leith,Adjustable Crescent Spanner,"Automotive, Bike, General DIY, Metalworking, Plumbing",,
ETL1295,Tuck Point Trowel,Leith,Leith,Finger Pointing Trowel,"General DIY, Painting and Decorating",,
ETL1296,Utility Wagon,Portobello,Portobello,Sack trolley,General DIY,,50
ETL1297,Cordless Drills,Portobello,Portobello,Electric Screwdriver,"Automotive, Bike, Carpentry and Woodworking, Electrical and Soldering, General DIY, Miscellaneous",,20
ETL1298,Rotary Tools,Portobello,Portobello,Cordless Rotary Tool,"Carpentry and Woodworking, General DIY, Metalworking, Miscellaneous",,57
ETL1299,Garden Tools,Portobello,Portobello,Lawn Mower,General DIY,,
ETL1300,Keys,Portobello,Portobello,Allen Key set,General DIY,,
ETL1301,Allen Wrench Sets,Portobello,Portobello,9 piece imperial allen key set,General DIY,,
ETL1302,Wrench Sets,Portobello,Portobello,8 piece imperial Hex (Allen) Key Set,General DIY,,
ETL1303,Socket Sets,Portobello,Portobello,1/2 in drive imperial socket set,General DIY,,
ETL1304,Extension Cords,Portobello,Portobello,Extension Lead,General DIY,,5
ETL1305,Squares,Portobello,Portobello,Square,"Carpentry and Woodworking, General DIY",,5
ETL1306,Squares,Portobello,Portobello,square,"Carpentry and Woodworking, General DIY",,5
ETL1307,Drill Bits,Portobello,Portobello,Screwdriver/socket bits set,General DIY,,10
ETL1308,"Bits, Drivers and Accessories",Portobello,Portobello,BOSCH Multi Bit Set,"Carpentry and Woodworking, General DIY",,
ETL1309,Engraver,Portobello,Leith,Multi Tool Rotary Tool,"Automotive, Bike, Carpentry and Woodworking, Electrical and Soldering, General DIY, Metalworking, Miscellaneous, Plumbing",,50
ETL1310,Pressure Washers,Portobello,Portobello,Pressure Washer with accessories,"General DIY, Painting and Decorating, Miscellaneous",,100
ETL1311,Hand Tools,Portobello,Portobello,Portable Folding Work Bench,"Bike, Carpentry and Woodworking, General DIY, Miscellaneous",,110
ETL1312,Corded Mowers,Leith,Leith,Electric lawn mower,"Garden, General DIY",,90
ETL1313,Hole Saw Kit,Leith,Leith,Hole Saw Set,General DIY,,30
ETL1314,Hand Sickle,Leith,Leith,Hand sickle,Garden,,5
ETL1315,Power Saws,Portobello,Portobello,Reciprocating Saw,"General DIY, ...",,
ETL1316,Hand Tools,Portobello,Portobello,Screw & Bolt Extractor Set,"Carpentry and Woodworking, General DIY, ...",,
ETL1317,Pipe Cutters,Leith,Leith,Adjustable Pipe Cutter,Plumbing,,15
ETL1318,"Bits, Drivers and Accessories",Leith,Leith,Drill Bit set,"Carpentry and Woodworking, General DIY, Metalworking",,10
ETL1319,Metal Garden Rake,Leith,Leith,Garden rake,"Garden, Miscellaneous",,8
ETL1320,Hand Tools,Portobello,Portobello,Portable Folding Work Bench,"Bike, Carpentry and Woodworking, General DIY, Miscellaneous",,110
ETL1321,Hand Tools,Portobello,Portobello,Portable Folding Work Bench,"Bike, Carpentry and Woodworking, General DIY, Miscellaneous",,110
ETL1323,String Trimmer,Leith,Leith,Bosch combitrim Strimmer,Garden,,40
ETL1324,String Trimmer,Leith,Leith,Flymo Strimmer,General DIY,,30
ETL1325,Random Orbit Sander,Leith,Leith,Random Orbit Sander,Carpentry and Woodworking,,40
ETL1326,Finishing Power Sanders,Leith,Leith,Black and Decker Mouse Sander,"Carpentry and Woodworking, General DIY, Miscellaneous",,57
ETL1327,Wood Chisel,Portobello,Portobello,Wood chisel Set,Carpentry and Woodworking,,2
ETL1328,Hammer Drills,Portobello,Portobello,Bosch corded SDS hammer drill,General DIY,,80
ETL1329,Hammers & Mallets,Portobello,Portobello,Wooden mallet,"Carpentry and Woodworking, General DIY",,5
ETL1330,Slip Joint Pliers,Portobello,Portobello,Pipe wrench set (2 pieces),"General DIY, Plumbing",,12
ETL1331,Small Tiller,Leith,Leith,Rotavator (4 stroke petrol),Garden,,265
ETL1332,Step Ladders,Leith,Leith,Step ladders,"Garden, General DIY, Miscellaneous, Painting and Decorating",,
ETL1333,Hack saw,Leith,Leith,Modular hand saw,"Metalworking, Miscellaneous",,
ETL1334,Miter Saws,Leith,Leith,Hand Mitre Saw,Carpentry and Woodworking,,80
ETL1335,Cordless Hammer Drills,Leith,Leith,Bosch Hammer Drill GBH 24 V SDS Plus,General DIY,,
ETL1336,Hand Tile Cutter,Portobello,Portobello,Tile cutter,"General DIY, Painting and Decorating, Plumbing",,10
ETL1337,Files,Portobello,Portobello,File and rasp set (12 pieces),"Carpentry and Woodworking, General DIY, Metalworking, Painting and Decorating",,10
ETL1338,Bar Clamps,Portobello,Portobello,G clamp,"Carpentry and Woodworking, General DIY",,10
ETL1339,Propane & Gas Powered Tools,Leith,Leith,Gas blow torch,"Automotive, Carpentry and Woodworking, Electrical and Soldering, Garden, General DIY, Metalworking, Painting and Decorating, Plumbing",,
ETL1340,Staple Gun,Portobello,Portobello,Staple Gun,"General DIY, Miscellaneous",,20
ETL1341,"Bits, Drivers and Accessories",Portobello,Portobello,4 Piece SDS Masonry Drill Bit set,General DIY,,20
ETL1342,"Bits, Drivers and Accessories",Portobello,Portobello,HSS steel drill bit set (19 bits) (1-10mm),"Carpentry and Woodworking, General DIY",,20
ETL1343,"Bits, Drivers and Accessories",Portobello,Leith,10 Piece Masonry Drill Bit set,General DIY,,20
ETL1344,"Bits, Drivers and Accessories",Portobello,Portobello,7 countersink wood drill bits and L-shaped hexagon spanner,General DIY,,12
ETL1345,"Bits, Drivers and Accessories",Portobello,Portobello,10 Pieces Masonry Drill Bit set,General DIY,,20
ETL1346,Squares,Portobello,Portobello,Square,"Carpentry and Woodworking, General DIY",,5
ETL1347,Drill Bits,Leith,Leith,Drill bits,General DIY,,
ETL1348,Jig Saws,Portobello,Portobello,Jigsaw,"Carpentry and Woodworking, General DIY, ...",,35
ETL1349,"Bits, Drivers and Accessories",Portobello,Portobello,10mm SDS Masonry Drill Bit,General DIY,,20
ETL1350,Step Ladders,Leith,Leith,Step Ladder,General DIY,,
ETL1351,Saws,Leith,Leith,Hand saw,"Carpentry and Woodworking, General DIY",,
ETL1352,Cordless Drills,Leith,Leith,Makita Cordless Drill,"Carpentry and Woodworking, General DIY",,
ETL1353,Cordless Drills,Leith,Leith,Makita impact driver,"Carpentry and Woodworking, General DIY",,
ETL1354,Drill Bits,Leith,Leith,Drill bits,General DIY,,
ETL1355,Scrapers,Leith,Leith,Paint scraper,Painting and Decorating,,
ETL1356,Scrapers,Leith,Leith,Narrow Paint scraper,Painting and Decorating,,
ETL1357,Scrapers,Leith,Leith,Paint scraper,Painting and Decorating,,
ETL1358,"Bits, Drivers and Accessories",Portobello,Portobello,12mm SDS Masonry Drill Bit,General DIY,,20
ETL1359,Cement Chisel,Leith,Leith,Stone chisel,"Garden, General DIY",,8
ETL1360,Wallpaper Steamer,Leith,Leith,Wallpaper Stripper,Painting and Decorating,,40
ETL1361,Belt Sanders,Leith,Leith,Belt Sander,"Carpentry and Woodworking, General DIY",,70
ETL1362,Jig Saws,Leith,Leith,Parkside Jigsaw,"Carpentry and Woodworking, General DIY, Metalworking",,40
ETL1363,Extension Cords,Leith,Leith,Extension cable on reel,"Electrical and Soldering, General DIY, Miscellaneous, Painting and Decorating",,35
ETL1364,Random Orbit Sander,Leith,Leith,Cordless Random Orbital Sander,"Carpentry and Woodworking, General DIY, Painting and Decorating, Miscellaneous",,50
ETL1365,Jig Saws,Leith,Leith,Multi tool,"Carpentry and Woodworking, General DIY, Metalworking, Miscellaneous",,60
ETL1366,Jig Saws,Leith,Leith,Multi tool,"Carpentry and Woodworking, General DIY, Metalworking, Miscellaneous, Painting and Decorating",,60
ETL1367,Cordless Drills,Leith,Leith,DeWalt Cordless Drill,General DIY,,
ETL1368,Cordless Drills,Leith,Leith,DeWalt Cordless Drill,General DIY,,
ETL1369,Knives,Portobello,Portobello,Stanley / Utility Knife,General DIY,,
ETL1370,Drill Bits,Leith,Leith,Router Bit Set,"Carpentry and Woodworking, General DIY",,8
ETL1371,Jig Saws,Leith,Leith,Hitachi Jigsaw,"Carpentry and Woodworking, General DIY, Metalworking",,40
ETL1372,Random Orbit Sander,Leith,Leith,Random Orbit Sander,Carpentry and Woodworking,,40
ETL1373,Misc,Portobello,Portobello,Leather Tool Belt,General DIY,,
ETL1374,Float,Portobello,Portobello,Float Trowel,"General DIY, Painting and Decorating",,5
ETL1375,Drywall Saws,Leith,Leith,Drywall/hacksaw,"Carpentry and Woodworking, General DIY, Painting and Decorating",,5
ETL1376,Paint Roller Frame,Leith,Leith,Paint Roller Cage,Painting and Decorating,,
ETL1377,Paint Roller Frame,Leith,Leith,Paint Roller Cage,Painting and Decorating,,
ETL1378,Paint Roller Frame,Leith,Leith,Paint Roller Cage,Painting and Decorating,,
ETL1379,Paint Roller Frame,Leith,Leith,Extendable Paint Roller Cage,Painting and Decorating,,
ETL1380,Paint Roller Frame,Leith,Leith,Small Paint Roller,Painting and Decorating,,
ETL1381,Paint Roller Frame,Leith,Leith,Radiator Paint Roller,Painting and Decorating,,
ETL1382,Corner Clamp,Leith,Leith,Set of 5 small metal clamps,"Carpentry and Woodworking, General DIY, Miscellaneous",,20
ETL1383,Corded & Plug-in,Leith,Leith,Tacwise 400ELS Pro angled nail gun,"Carpentry and Woodworking, General DIY",,40
ETL1384,Jig Saws,Leith,Leith,Parkside Combination Cutter,"Carpentry and Woodworking, General DIY, Metalworking",,40
ETL1385,Power Drills,Leith,Leith,Electric Scraper,General DIY,,30
ETL1386,Engraver,Leith,Leith,Multi Tool Rotary Tool,"Automotive, Bike, Carpentry and Woodworking, Electrical and Soldering, General DIY, Metalworking, Miscellaneous, Plumbing",,30
ETL1387,Float,Leith,Leith,Float Trowel,"General DIY, Painting and Decorating",,
ETL1388,Sharp Bristle Brushes,Leith,Leith,Paperhanging Brush,Painting and Decorating,,
ETL1389,Routers,Leith,Leith,Small Plunge Router,"Carpentry and Woodworking, General DIY",,80
ETL1390,Testers (hand held),Leith,Leith,Stud finder,"Carpentry and Woodworking, General DIY, Painting and Decorating, Plumbing",,20
ETL1391,Routers,Leith,Leith,Router Bit Set,General DIY,,
ETL1392,Angle Grinders,Portobello,Portobello,Angle Grinder,"General DIY, Metalworking, Miscellaneous",,40
ETL1393,Angle Grinders,Portobello,Portobello,Angle Grinder,"General DIY, Metalworking, Miscellaneous",,40
ETL1394,Random Orbit Sander,Leith,Leith,Draper Palm Sander,"Carpentry and Woodworking, General DIY, Miscellaneous, Painting and Decorating",,20
ETL1395,Vise Grips,Leith,Leith,Mole grips,"Automotive, Bike, General DIY",,15
ETL1396,Vise Grips,Leith,Leith,Mole grips,"Automotive, Bike, General DIY",,15
ETL1397,Finishing Power Sanders,Leith,Leith,Palm Sander,"Carpentry and Woodworking, General DIY, Miscellaneous",,57
ETL1398,Extension Cords,Leith,Leith,Extension cable on reel,"Electrical and Soldering, General DIY, Miscellaneous",,10
ETL1399,Notched Trowel,Leith,Leith,Tiling trowel,Painting and Decorating,,
ETL1400,Wet Tile Saws,Leith,Leith,Wet Tile Saw,"General DIY, Miscellaneous, Painting and Decorating, Plumbing",,30
ETL1401,Finishing Power Sanders,Leith,Leith,Orbital Sander,"Carpentry and Woodworking, General DIY, Miscellaneous",,57
ETL1402,Finishing Power Sanders,Leith,Leith,Detail Sander,"Carpentry and Woodworking, General DIY, Miscellaneous",,57
ETL1403,Wood Chisel,Leith,Leith,Chisel set,Carpentry and Woodworking,,20
ETL1404,Wood Chisel,Leith,Leith,Chisel set,Carpentry and Woodworking,,20
ETL1405,Wood Chisel,Leith,Leith,18mm Chisel,Carpentry and Woodworking,,5
ETL1406,Crowbar,Leith,Leith,Pry bar,"Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous",,10
ETL1407,String Trimmer,Leith,Leith,Challenge electric grass trimmer,General DIY,,50
ETL1408,Jig Saws,Leith,Leith,Multifunction saw,"Carpentry and Woodworking, General DIY",,50
ETL1409,Testers (hand held),Leith,Leith,Metal and voltage detector,"Carpentry and Woodworking, General DIY, Painting and Decorating, Plumbing",,20
ETL1410,Trowel,Leith,Leith,Trowel,General DIY,,
ETL1411,Finishing Power Sanders,Leith,Leith,Black and Decker Powerfile,"Carpentry and Woodworking, General DIY, Miscellaneous",,57
ETL1412,Routers,Leith,Leith,Bosch Router,General DIY,,
ETL1413,Drill Bits,Leith,Leith,Folsom Auger Bit Set,General DIY,,
ETL1414,Wheelbarrow,Leith,Leith,Wheelbarrow,"Garden, General DIY",,
ETL1415,Caulk Guns,Portobello,Portobello,Caulking Gun,"General DIY, Painting and Decorating, Plumbing",,
ETL1416,Extension Ladder,Portobello,Portobello,Extension Ladder,"General DIY, Painting and Decorating",,
ETL1417,Post Hole Digger,Leith,Leith,Post Driver,"Garden, General DIY",,40
ETL1418,Needle Nose Pliers,,,Circlip pliers,"Automotive, Electrical and Soldering, General DIY, Metalworking, Plumbing",,5
ETL1419,Cordless Impact Drivers,Leith,Leith,Impact driver,General DIY,,
ETL1420,Belt Sanders,Leith,Leith,Belt Sander,"Carpentry and Woodworking, General DIY",,40
ETL1421,Belt Sanders,Leith,Leith,Belt Sander,"Carpentry and Woodworking, General DIY",,
ETL1422,Garden Tools,Leith,Leith,Cordless hedge trimmer,Garden,,
ETL1423,Crosscut Saw,Leith,Leith,Japanese Pull Saw,"Carpentry and Woodworking, General DIY",,
ETL1424,Engraver,Leith,Leith,Engraving tool,"Carpentry and Woodworking, General DIY, Painting and Decorating, Miscellaneous",,
ETL1425,Cordless Hammer Drills,Leith,Leith,Cordless hammer drill,"Carpentry and Woodworking, General DIY",,
ETL1426,Wood Chisel,Leith,Leith,Bevel Edge Wood Chisels,Carpentry and Woodworking,,15
ETL1427,Band Saws,Leith,Leith,Band Saw,General DIY,,500
ETL1802,Corner Clamp,Portobello,Portobello,Set of 4 Corner Clamps (double entry in the database ETL1082),"Carpentry and Woodworking, General DIY, Miscellaneous",,
ETL1803,Drill Bits,Leith,Leith,Diamond Core Drill Kit,"General DIY, Plumbing",,110
ETL1804,Hand Miter Saws,Leith,Leith,Mitre Saw,"Carpentry and Woodworking, General DIY",,
ETL1805,Pipe Cutters,Portobello,Portobello,Adjustable Tube / Pipe Cutter,Plumbing,,15
ETL1806,Hack saw,Portobello,Portobello,Hack saw,"Carpentry and Woodworking, Garden, Metalworking, Painting and Decorating, Plumbing",,5
ETL1807,Bar Clamps,Portobello,Portobello,Corner clamp,"Carpentry and Woodworking, General DIY",,35
ETL1808,"Bits, Drivers and Accessories",Portobello,Portobello,5 Piece SDS Plus Masonry Drill Bit set,General DIY,,20
ETL1809,Rivet Tools,Portobello,Portobello,Hand riveter,"Carpentry and Woodworking, General DIY, Metalworking, Miscellaneous, Painting and Decorating",,25
ETL1810,Hand Tools,Leith,Leith,Wallpaper cutter,Painting and Decorating,,
ETL1811,Miscellaneous Furniture,Leith,Leith,Portable Work bench,"Carpentry and Woodworking, General DIY, Miscellaneous",,110
ETL1812,Hoes,Leith,Leith,Dutch Hoe,Garden,,5
ETL1814,Drill Press (hand),Leith,Leith,Hand drill press,General DIY,,
ETL1815,Grass Shear,Portobello,Portobello,Garden Shears,Garden,,10
ETL1816,Grass Shear,Portobello,Leith,Large Extendable Ratchet Lopping Shears / Secaturs,"Garden, General DIY",,25
ETL1817,Hole Saw Kit,Portobello,Portobello,Hole Saw Set,General DIY,,30
ETL1818,Distance Meters,Portobello,Portobello,Micrometer,General DIY,,
ETL1819,Screwdriver Sets,Portobello,Portobello,Small screwdriver set,"Automotive, Bike, Carpentry and Woodworking, Electrical and Soldering, General DIY, Miscellaneous",,15
ETL1820,Spanner Wrenches,Portobello,Portobello,"Pipe Wrench / Stilson 14""",General DIY,,
ETL1821,Garden Tools,Portobello,Portobello,"Rake, Leaf",General DIY,,
ETL1822,Socket Sets,Portobello,Portobello,Socket Set,General DIY,,
ETL1823,Knives,Portobello,Portobello,Stanley / Utility Knife,General DIY,,
ETL1824,Tap and Die,Portobello,Portobello,Tap and Die Set - Metric,General DIY,,
ETL1825,Ratchet Straps,Leith,Leith,Mini Endless Ratchet Strap,"Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous",,
ETL1826,Ratchet Straps,Leith,Leith,Mini Endless Ratchet Strap,"Automotive, Carpentry and Woodworking, Garden, General DIY, Metalworking, Miscellaneous",,
ETL1827,Hole Saw Kit,Leith,Leith,Hole Saw Kit,"Carpentry and Woodworking, Garden, General DIY, Miscellaneous, Painting and Decorating",,
ETL1828,Step Ladders,Portobello,Portobello,Step ladder,General DIY,,
ETL1829,Hole Saw Kit,Leith,Leith,Hole Saw Kit,"Carpentry and Woodworking, General DIY, Painting and Decorating",,
ETL1830,Drill Bits,Leith,Leith,Flat Wood bit set,"Carpentry and Woodworking, General DIY, Painting and Decorating, Plumbing",,
ETL1831,Drill Bits,Portobello,Leith,75 Piece Drill Bit Set,General DIY,,25
ETL1832,Drill Bits,Portobello,Portobello,75 Piece Drill Bit Set,General DIY,,
ETL1833,Spade Shovel,Portobello,Portobello,Garden Spade,"Garden, General DIY, Miscellaneous",,10
ETL1834,Hand Wood Splitter,Portobello,Portobello,Roughneck Manual Wood Splitter,"Garden, General DIY",,
ETL1835,Hatchet,Portobello,Portobello,Stanley hatchet,General DIY,,
ETL1836,Circular Saws,Leith,Leith,Corded circular saw,"Carpentry and Woodworking, General DIY",,60
ETL1837,Gas Powered String Trimmer,Portobello,Portobello,Strimmer (2-stroke petrol),"Garden, General DIY",,100
ETL1838,Drills,Leith,Leith,Drill template set,General DIY,,
ETL1839,Levels,Leith,Leith,Laser Edge Level,General DIY,,
ETL1840,Hand Tool Sets,Leith,Leith,Mini Tool Set,General DIY,,
ETL1841,Curriculum,Portobello,Portobello,"Woodcarving, tools, materials & equipment book",Carpentry and Woodworking,,
ETL1842,Sanders & Planers,Leith,Leith,Mouse Sander,General DIY,,
ETL1843,Bar Clamps,Leith,Leith,Bar clamp,"Carpentry and Woodworking, General DIY",,10
ETL1844,Bar Clamps,Leith,Leith,Bar clamp,"Carpentry and Woodworking, General DIY",,10
ETL1845,Bar Clamps,Leith,Leith,Bar clamp,"Carpentry and Woodworking, General DIY",,10
ETL1846,Sanders,Leith,Leith,Orbital Sander,"Carpentry and Woodworking, General DIY, Painting and Decorating",,30
ETL1847,Random Orbit Sander,Leith,Leith,Random Orbital Sander,"Carpentry and Woodworking, General DIY, Painting and Decorating, sand a door",,40
ETL1848,Planes,Leith,Leith,Bullnose/Rebate Plane,Carpentry and Woodworking,,5
ETL1849,Random Orbit Sander,Leith,Leith,Parkside 310W Power Sander,"Carpentry and Woodworking, General DIY, Miscellaneous, Painting and Decorating, ...",,30
